video_id,title,filename,pub_date,assemblyai_transcript_id
7qAHShSSkyE,Noise and Sensations Ivan 9 with Toumas 04 09 24,2024-04-09-noise-and-sensations-ivan-9-with-toumas-04-09-24.md,2024-04-09,e689f751-1308-4e25-bffa-4dd66765c968
e_tebMVAPos,Where Do You Expect to Find It? Dhamma Dasa & DJ The Sangha UK 208 04 10 24,2024-04-10-where-do-you-expect-to-find-it--dhamma-dasa---dj-the-sangha-uk-208-04-10-24.md,2024-04-10,50a03592-c858-4ec3-bb4b-3289e2aad381
Y9jOSEBPpcE,See the Flower and Smile | US Sangha #111 | 04.12.24,2024-04-12-See-the-Flower-and-Smile-US-Sangha-111.md,2024-04-12,
SMALigFMRxM,You Don't Have to Fix The World Sangha UK #210 04.14.24,2024-04-14-you-dont-have-to-fix-the-world-sangha-uk-210-04-14-24-SMALigFMRxM.md,2024-04-14,
K3pKFtdnwD0,Lighten Your Load Max M #1 with Callum 04.17.24,2024-04-17-lighten-your-load-max-m-1-with-callum-04-17-24-K3pKFtdnwD0.md,2024-04-17,
8WDSLNz425g,Listen to What is Being Said Navid 1 04 17 24,2024-04-17-listen-to-what-is-being-said-navid-1-04-17-24.md,2024-04-17,6cd256dd-f1f1-493e-a193-4b55ef0e03d0
xXUyrlFDUJA,We Have To Find Out For Ourselves Dhamma Dasa & DJ The Sangha UK 210 04 17 24,2024-04-17-we-have-to-find-out-for-ourselves-dhamma-dasa---dj-the-sangha-uk-210-04-17-24.md,2024-04-17,7ec0219e-0a79-4b0c-a0dc-cd0dc9208b8a
Kob48DL9cgU,Don't have to Be Afraid US Sangha #112 04-20-24,2024-04-20-dont-have-to-be-afraid-the-sangha-us-112.md,2024-04-20,
pM3J7fKotuA,Give Up Striving Eric 1 04 20 24,2024-04-20-give-up-striving-eric-1-04-20-24.md,2024-04-20,bd133fd7-63a1-4aa3-8bfe-ddd155276dfe
0bg6bIvN8bg,Get Away From The World Alberto 2 04 21 24,2024-04-21-get-away-from-the-world-alberto-2-04-21-24.md,2024-04-21,2da04ada-1414-4d11-b5a2-74f553602145
JjNg9iJ-FAI,Stop Being on a Path The Sangha UK 211 04 21 24,2024-04-21-stop-being-on-a-path-the-sangha-uk-211-04-21-24.md,2024-04-21,1e12db0c-71c4-447f-bc0a-a6406d41f93d
NrPUgi740tw,Look at How You Feel Ivan 10 04 22 24,2024-04-22-look-at-how-you-feel-ivan-10-04-22-24.md,2024-04-22,652297af-af77-40fb-9436-cb5961f42224
Zr4ozSG7BSc,Stop Your Journey Buddha Dhamma,2024-04-22-stop-your-journey-buddha-dhamma.md,2024-04-22,
T7-wjxSkUuw,Can You Handle Your Confusion Happily? Tuomas 1 04 24 24,2024-04-24-can-you-handle-your-confusion-happily--tuomas-1-04-24-24.md,2024-04-24,313025a4-5ba9-45a6-be3e-27ff1c1a7895
